frame.number	frame.time_relative	dhcp.id	dhcp.hw.mac_addr	dhcp.option.dhcp	dhcp.option.requested_ip_address	dhcp.ip.your
1	0.000000000	0x0329ce6b	b8:27:eb:7d:e8:ee,b8:27:eb:7d:e8:ee	1	10.10.0.2	0.0.0.0
2	0.071256749	0x3449fa25	b8:27:eb:3a:e2:c8,b8:27:eb:3a:e2:c8	1	10.10.0.1	0.0.0.0
3	2.103497335	0x00003de2	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
5	2.906521607	0x0329ce6b	b8:27:eb:7d:e8:ee,b8:27:eb:7d:e8:ee	3	10.10.0.2	0.0.0.0
6	5.910330502	0x3449fa25	b8:27:eb:3a:e2:c8	2		10.10.0.1
7	5.910940879	0x3449fa25	b8:27:eb:3a:e2:c8,b8:27:eb:3a:e2:c8	3	10.10.0.1	0.0.0.0
8	5.925531400	0x3449fa25	b8:27:eb:3a:e2:c8	5		10.10.0.1
11	7.110107301	0x00003de3	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
18	12.111011320	0x00003de4	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
19	17.114960002	0x00003de5	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
24	22.118932981	0x00003de6	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
27	27.125620686	0x00003de7	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
28	32.127139472	0x00003de8	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
