frame.number	frame.time_relative	dhcp.id	dhcp.hw.mac_addr	dhcp.option.dhcp	dhcp.option.requested_ip_address	dhcp.ip.your
1	0.000000000	0x00003ddb	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
2	5.001027667	0x00003ddc	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
3	10.004991266	0x00003ddd	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
4	15.008379252	0x00003dde	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
5	20.014456457	0x00003ddf	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
6	25.015497438	0x00003de0	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
7	30.018905726	0x00003de1	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
8	32.821906801	0x0329ce6b	b8:27:eb:7d:e8:ee,b8:27:eb:7d:e8:ee	1	10.10.0.2	0.0.0.0
10	32.992547327	0x3449fa25	b8:27:eb:3a:e2:c8,b8:27:eb:3a:e2:c8	1	10.10.0.1	0.0.0.0
11	35.024309523	0x00003de2	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
12	35.826249372	0x0329ce6b	b8:27:eb:7d:e8:ee	2		10.10.0.2
14	35.827320920	0x0329ce6b	b8:27:eb:7d:e8:ee,b8:27:eb:7d:e8:ee	3	10.10.0.2	0.0.0.0
15	38.830518914	0x3449fa25	b8:27:eb:3a:e2:c8	2		10.10.0.1
16	38.831803417	0x3449fa25	b8:27:eb:3a:e2:c8,b8:27:eb:3a:e2:c8	3	10.10.0.1	0.0.0.0
17	38.840135138	0x0329ce6b	b8:27:eb:7d:e8:ee	5		10.10.0.2
18	38.845706667	0x3449fa25	b8:27:eb:3a:e2:c8	5		10.10.0.1
21	40.030530465	0x00003de3	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
30	45.031015936	0x00003de4	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
31	50.034588409	0x00003de5	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
33	55.038164849	0x00003de6	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
34	60.044500405	0x00003de7	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62	3		0.0.0.0
